,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",23/1/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",1/2/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",20/2/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",20/2/2019,border rejection,border control - consignment under customs,Italy,re-dispatch,product allowed to travel to destination under customs seals,serious,Nigeria
,,,,,"nuts, nut products and seeds",27/2/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",22/3/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",26/3/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",26/3/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",1/4/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",9/4/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",9/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",10/4/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",12/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",7/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",7/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",8/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",21/5/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",22/5/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",23/5/2019,information for attention,company's own check,Germany,withdrawal from the market,distribution restricted to notifying country,serious,Nigeria
,,,,,"nuts, nut products and seeds",24/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",28/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",29/5/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",3/6/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",21/6/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",3/7/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",5/7/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",26/7/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",5/8/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",28/8/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,herbs and spices,30/8/2019,information for attention,official control on the market,Italy,recall from consumers,distribution restricted to notifying country,serious,Nigeria
,,,,,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),4/5/1999,information,,Spain,import not authorised,,undecided,Senegal
,,,,,molluscs and products thereof - (obsolete),22/10/1999,information,,Italy,import not authorised,,undecided,Senegal
,,,,,fish and fish products,2/9/1999,information,,France,import not authorised,,undecided,Senegal
,,,,,crustaceans and products thereof,29/8/2000,alert,,Belgium,,,undecided,Senegal
,,,,,fish and fish products,27/9/1999,information,,France,import not authorised,,undecided,Senegal
,,,,,molluscs and products thereof - (obsolete),24/10/2000,information,,France,product recall or withdrawal,,undecided,Senegal
,,,,,molluscs and products thereof - (obsolete),9/3/2001,information,,Greece,import not authorised,,undecided,Senegal
,,,,,fish and fish products,13/10/1999,information,,France,import not authorised,,undecided,Senegal
,,,,,fish and fish products,16/2/2000,information,,France,import not authorised,,undecided,Senegal
,,,,,fish and fish products,21/9/2000,information,,France,destruction,,undecided,Senegal
,,,,,fish and fish products,24/10/2003,information,border control - consignment released,France,product recall or withdrawal,,undecided,Senegal
,,,,,fish and fish products,27/10/2003,alert,border control - consignment released,France,product recall or withdrawal,,undecided,Senegal
,,,,,fish and fish products,21/11/2005,information,border control - consignment released,Italy,reinforced checking,product already consumed,undecided,Senegal
,,,,,fish and fish products,24/9/2008,information,border control - consignment released,Germany,destination of the product identified,distribution on the market (possible),undecided,Senegal
,,,,,molluscs and products thereof - (obsolete),6/11/2003,information,border control - consignment detained,Italy,re-dispatch,,undecided,Senegal
,,,,,fish and fish products,14/9/2009,information,border control - consignment released,Germany,informing recipient(s),product already consumed,undecided,Senegal
,,,,,fish and fish products,12/10/2009,border rejection,border control - consignment detained,Germany,re-dispatch or destruction,no distribution,undecided,Senegal
,,,,,fish and fish products,6/11/2009,border rejection,border control - consignment detained,Spain,destruction,no distribution,undecided,Senegal
,,,,,"nuts, nut products and seeds",15/3/2007,information,border control - consignment detained,Italy,re-dispatch,no distribution,undecided,Senegal
,,,,,"nuts, nut products and seeds",13/6/2014,border rejection,border control - consignment detained,Italy,import not authorised,product not (yet) placed on the market,serious,Senegal
,,,,,"soups, broths, sauces and condiments",23/6/2016,alert,company's own check,United Kingdom,public warning - press release,distribution to other member countries,serious,South Africa
,,,,,poultry meat and poultry meat products,6/9/2016,information for follow-up,border control - consignment released,Germany,informing authorities,distribution to other member countries,not serious,South Africa
,,,,,cereals and bakery products,31/8/2018,alert,company's own check,Netherlands,informing recipient(s),distribution to other member countries,serious,South Africa
,,,,,"nuts, nut products and seeds",14/3/2013,information for attention,border control - consignment released,Cyprus,physical/chemical treatment,distribution restricted to notifying country,serious,Sudan
,,,,,"nuts, nut products and seeds",25/1/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/2/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/3/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",17/3/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",17/3/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",31/3/2017,alert,food poisoning,Germany,recall from consumers,distribution to other member countries,serious,Sudan
,,,,,"nuts, nut products and seeds",5/4/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",6/4/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/4/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/5/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",15/6/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/7/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/8/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",8/9/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/11/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/11/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/12/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",17/1/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/1/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",25/1/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/2/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/2/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",8/2/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/2/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",15/2/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/3/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/3/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/3/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",20/3/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",30/3/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/4/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/4/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/4/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",12/4/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",12/4/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",13/4/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",16/4/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/5/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/5/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/5/2018,border rejection,border control - consignment detained,Poland,return to consignor,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",18/5/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",22/5/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",23/5/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",23/5/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",23/5/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",25/5/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",8/6/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",13/6/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",13/6/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",13/6/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",29/6/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",29/6/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/7/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/7/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",10/7/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/7/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",18/7/2018,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",18/7/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",20/7/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/7/2018,border rejection,border control - consignment detained,France,return to consignor,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",31/7/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/8/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/8/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",8/8/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/8/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/8/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",24/8/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",24/8/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/9/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",5/10/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",5/10/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",12/10/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",16/10/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",16/10/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",30/10/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/11/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",5/11/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",15/11/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/11/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",5/12/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",5/12/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/1/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",10/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/1/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",23/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",8/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",13/2/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",13/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/2/2019,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/2/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/2/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",22/2/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/2/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",15/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/3/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",29/3/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",17/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",20/5/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",20/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/5/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",29/5/2019,border rejection,border control - consignment under customs,Italy,,product allowed to travel to destination under customs seals,serious,Sudan
,,,,,"nuts, nut products and seeds",3/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/7/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",24/7/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
