,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin
,,,,,herbs and spices,22/1/2008,information,border control - consignment released,United Kingdom,physical treatment - heat treatment,distribution restricted to notifying country,undecided,Egypt
,,,,,"nuts, nut products and seeds",3/7/2009,alert,official control on the market,Germany,return to consignor,distribution on the market (possible),undecided,Egypt
,,,,,herbs and spices,29/3/2010,border rejection,border control - consignment detained,Italy,re-dispatch,no distribution,undecided,Egypt
,,,,,herbs and spices,17/6/2011,information for follow-up,official control on the market,United Kingdom,no action taken,distribution to other member countries,undecided,Egypt
,,,,,herbs and spices,31/10/2012,alert,official control on the market,Denmark,informing recipient(s),distribution to other member countries,serious,Egypt
,,,,,herbs and spices,10/11/2014,border rejection,border control - consignment under customs,Italy,informing consignor,product allowed to travel to destination under customs seals,serious,Egypt
,,,,,herbs and spices,14/11/2014,information for attention,official control on the market,Poland,withdrawal from the market,distribution restricted to notifying country,serious,Egypt
,,,,,herbs and spices,11/12/2015,alert,company's own check,United Kingdom,informing recipient(s),distribution to other member countries,serious,Egypt
,,,,,herbs and spices,22/2/2016,alert,official control on the market,Germany,recall from consumers,distribution to other member countries,serious,Egypt
,,,,,herbs and spices,14/7/2017,information for attention,company's own check,Belgium,return to consignor,distribution restricted to notifying country,serious,Egypt
,,,,,herbs and spices,28/8/2017,alert,official control on the market,Germany,recall from consumers,distribution to other member countries,serious,Egypt
,,,,,herbs and spices,1/9/2017,alert,official control on the market,Ireland,recall from consumers,distribution to other member countries,serious,Egypt
,,,,,herbs and spices,3/10/2017,information for attention,border control - consignment released,Spain,,distribution restricted to notifying country,serious,Egypt
,,,,,herbs and spices,26/10/2017,alert,official control on the market,Ireland,recall from consumers,distribution to other member countries,serious,Egypt
,,,,,herbs and spices,7/6/2018,alert,official control on the market,Spain,physical/chemical treatment,distribution to other member countries,serious,Egypt
,,,,,herbs and spices,14/8/2019,alert,official control on the market,Poland,destruction,distribution to other member countries,serious,Egypt
,,,,,herbs and spices,30/10/2019,information for attention,official control on the market,Poland,withdrawal from the market,distribution restricted to notifying country,serious,Egypt
,,,,,meat and meat products (other than poultry),21/2/2012,border rejection,border control - consignment detained,Norway,physical/chemical treatment,no distribution,undecided,Eswatini
,,,,,"nuts, nut products and seeds",17/7/2007,information,official control on the market,Greece,destruction,distribution restricted to notifying country,undecided,Ethiopia
,,,,,"nuts, nut products and seeds",4/5/2010,border rejection,border control - consignment detained,Greece,re-dispatch,no distribution,undecided,Ethiopia
,,,,,"nuts, nut products and seeds",20/3/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",21/4/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",15/11/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",23/2/2018,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",9/3/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",3/4/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",24/4/2018,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",7/6/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",13/6/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",14/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",11/4/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",15/4/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",19/4/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",2/5/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",20/5/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",20/5/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",20/5/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",24/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",13/6/2019,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",10/7/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",11/7/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",31/7/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",30/9/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Ethiopia
,,,,,"nuts, nut products and seeds",11/12/2019,border rejection,border control - consignment detained,Netherlands,re-dispatch,product not (yet) placed on the market,serious,Ethiopia
,,,,,molluscs and products thereof - (obsolete),10/6/2005,information,border control - consignment detained,United Kingdom,destruction,no distribution,undecided,Ghana
,,,,,cereals and bakery products,11/7/2005,information,border control - consignment detained,Italy,re-dispatch,no distribution,undecided,Ghana
,,,,,"dietetic foods, food supplements, fortified foods",11/1/2017,information for attention,official control on the market,United Kingdom,withdrawal from recipient(s),distribution restricted to notifying country,serious,Ghana
,,,,,fish and fish products,22/1/1999,information,,France,,,undecided,Guinea
,,,,,fish and fish products,13/10/1999,information,,France,import not authorised,,undecided,Guinea
,,,,,fish and fish products,7/4/2000,information,,France,import not authorised,,undecided,Guinea
,,,,,fish and fish products,1/2/1999,information,,Germany,seizure,,undecided,Kenya
,,,,,fish and fish products,1/2/1999,information,,Germany,seizure,,undecided,Kenya
,,,,,fish and fish products,26/3/2003,information,border control - consignment detained,Italy,import not authorised,,undecided,Kenya
,,,,,fish and fish products,21/8/2003,information,border control - consignment detained,Italy,destruction,,undecided,Kenya
,,,,,fish and fish products,28/12/2006,information,border control - consignment released,Germany,reinforced checking,product already consumed,undecided,Kenya
,,,,,fish and fish products,19/1/2007,alert,border control - consignment released,Germany,,distribution on the market (possible),undecided,Kenya
,,,,,fish and fish products,22/9/2008,information,border control - consignment released,Italy,reinforced checking,distribution on the market (possible),undecided,Kenya
,,,,,fish and fish products,29/9/2008,border rejection,border control - consignment detained,Italy,destruction,no distribution,undecided,Kenya
,,,,,fish and fish products,20/11/2008,information,border control - consignment released,Germany,destination of the product identified,distribution on the market (possible),undecided,Kenya
,,,,,fish and fish products,11/6/2010,information,border control - consignment released,Poland,informing authorities,distribution on the market (possible),undecided,Kenya
,,,,,fish and fish products,13/7/2010,information,border control - consignment released,Italy,withdrawal from the market,distribution restricted to notifying country,undecided,Kenya
,,,,,fish and fish products,9/9/2010,border rejection,border control - consignment detained,Italy,re-dispatch or destruction,no distribution,undecided,Kenya
,,,,,fish and fish products,24/6/2011,information for attention,border control - consignment released,Germany,informing recipient(s),product already consumed,undecided,Kenya
,,,,,cephalopods and products thereof,26/9/2011,border rejection,border control - consignment detained,Italy,re-dispatch or destruction,no distribution,undecided,Madagascar
,,,,,herbs and spices,15/9/2017,border rejection,border control - consignment detained,Finland,official detention,product not (yet) placed on the market,serious,Madagascar
,,,,,"nuts, nut products and seeds",3/6/2016,alert,official control on the market,Netherlands,withdrawal from recipient(s),distribution to other member countries,serious,Mali
,,,,,herbs and spices,27/8/2009,information,official control on the market,United Kingdom,physical treatment - heat treatment,distribution restricted to notifying country,undecided,Mauritius
,,,,,molluscs and products thereof - (obsolete),23/1/2003,information,border control - consignment detained,Spain,import not authorised,,undecided,Morocco
,,,,,molluscs and products thereof - (obsolete),1/7/2005,information,border control - consignment detained,Greece,re-dispatch,no distribution,undecided,Morocco
,,,,,herbs and spices,6/11/2006,alert,official control on the market,Luxembourg,informing recipient(s),distribution on the market (possible),undecided,Morocco
,,,,,cephalopods and products thereof,10/8/2009,information,border control - consignment released,Italy,withdrawal from the market,distribution restricted to notifying country,undecided,Morocco
,,,,,herbs and spices,21/1/2013,information for attention,official control on the market,United Kingdom,recall from consumers,distribution restricted to notifying country,serious,Morocco
,,,,,gastropods,11/7/2018,information for attention,official control on the market,Spain,,information on distribution not (yet) available,not serious,Morocco
,,,,,crustaceans and products thereof,22/1/1999,information,,France,,,undecided,Mozambique
,,,,,meat and meat products (other than poultry),16/10/2000,information,,Norway,import not authorised,,undecided,Namibia
,,,,,meat and meat products (other than poultry),16/5/2002,information,,Norway,import not authorised,,undecided,Namibia
,,,,,meat and meat products (other than poultry),5/6/2002,information,,Norway,import not authorised,,undecided,Namibia
,,,,,meat and meat products (other than poultry),5/6/2002,information,,Norway,import not authorised,,undecided,Namibia
,,,,,meat and meat products (other than poultry),5/6/2002,information,,Norway,import not authorised,,undecided,Namibia
,,,,,prepared dishes and snacks,11/6/2002,information,,Norway,import not authorised,,undecided,Namibia
,,,,,meat and meat products (other than poultry),9/8/2002,information,,Norway,prohibition to trade - sales ban,,undecided,Namibia
,,,,,meat and meat products (other than poultry),9/8/2002,information,,Norway,prohibition to trade - sales ban,,undecided,Namibia
,,,,,meat and meat products (other than poultry),9/8/2002,information,,Norway,prohibition to trade - sales ban,,undecided,Namibia
,,,,,meat and meat products (other than poultry),19/8/2002,information,,Norway,,,undecided,Namibia
,,,,,meat and meat products (other than poultry),27/5/2003,information,border control - consignment detained,Norway,re-dispatch,,undecided,Namibia
,,,,,meat and meat products (other than poultry),3/10/2003,information,border control - consignment detained,Norway,re-dispatch,,undecided,Namibia
,,,,,meat and meat products (other than poultry),21/11/2003,information,border control - consignment detained,Norway,destruction,,undecided,Namibia
,,,,,meat and meat products (other than poultry),15/3/2004,information,official control on the market,Norway,destruction,,undecided,Namibia
,,,,,meat and meat products (other than poultry),15/6/2004,information,border control - consignment detained,Norway,re-dispatch,,undecided,Namibia
,,,,,meat and meat products (other than poultry),5/7/2004,alert,official control on the market,Norway,prohibition to trade - sales ban,,undecided,Namibia
,,,,,meat and meat products (other than poultry),14/9/2004,information,official control on the market,Norway,prohibition to trade - sales ban,distribution restricted to notifying country,undecided,Namibia
,,,,,meat and meat products (other than poultry),15/10/2004,information,official control on the market,Norway,return to consignor,distribution restricted to notifying country,undecided,Namibia
,,,,,meat and meat products (other than poultry),26/5/2005,alert,official control on the market,Norway,product recall or withdrawal,distribution on the market (possible),undecided,Namibia
,,,,,meat and meat products (other than poultry),15/6/2005,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia
,,,,,meat and meat products (other than poultry),21/6/2005,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia
,,,,,meat and meat products (other than poultry),21/6/2005,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia
,,,,,meat and meat products (other than poultry),21/6/2005,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia
,,,,,meat and meat products (other than poultry),31/8/2005,alert,official control on the market,Norway,return to consignor,distribution on the market (possible),undecided,Namibia
,,,,,meat and meat products (other than poultry),30/1/2009,border rejection,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia
,,,,,meat and meat products (other than poultry),3/2/2009,border rejection,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia
,,,,,meat and meat products (other than poultry),20/4/2009,border rejection,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia
,,,,,herbs and spices,30/10/2007,information,official control on the market,Poland,withdrawal from the market,distribution restricted to notifying country,undecided,Nigeria
,,,,,gastropods,26/12/2008,information,border control - consignment released,Germany,destruction,distribution restricted to notifying country,undecided,Nigeria
,,,,,herbs and spices,16/4/2012,border rejection,border control - consignment detained,Finland,destruction,no distribution,undecided,Nigeria
,,,,,herbs and spices,24/4/2012,alert,official control on the market,Germany,withdrawal from the market,distribution to other member countries,undecided,Nigeria
,,,,,"nuts, nut products and seeds",29/1/2015,border rejection,border control - consignment under customs,Italy,re-dispatch,product allowed to travel to destination under customs seals,serious,Nigeria
,,,,,"nuts, nut products and seeds",27/5/2015,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,herbs and spices,2/6/2015,alert,official control on the market,Netherlands,withdrawal from the market,distribution restricted to notifying country,serious,Nigeria
,,,,,fruits and vegetables,6/8/2015,alert,official control on the market,Germany,withdrawal from the market,information on distribution not (yet) available,serious,Nigeria
,,,,,fruits and vegetables,23/10/2015,alert,official control on the market,Germany,no action taken,distribution restricted to notifying country,serious,Nigeria
,,,,,herbs and spices,29/8/2016,alert,company's own check,Netherlands,withdrawal from the market,no distribution from notifying country,serious,Nigeria
